0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,-63.0,-21.0,-47.0,-4.0,-31.0,-1.0,-64.0,-9.0,-54.0,6.0,-56.0,15.0,-40.0,-5.0,-25.0,-9.0,-50.0,13.0,-48.0,1.0,-21.0,2.0,-1.0,7.0,-58.4,-11.6,24.0
1.0,-53.0,-2.0,-53.0,4.0,-103.0,46.0,-47.0,0.0,-37.0,3.0,-124.0,52.0,-29.0,27.0,-31.0,12.0,2.0,-11.0,-34.0,30.0,-74.0,14.0,-55.0,14.0,-46.0,-1.6,25.0
1.0,-37.0,4.0,-34.0,1.0,-25.0,-30.0,-32.0,11.0,-64.0,13.0,-47.0,182.0,-22.0,5.0,28.0,12.0,-5.0,-16.0,-26.0,9.0,-80.0,34.0,-176.0,19.0,-40.6,-5.2,26.0
1.0,-20.0,1.0,-62.0,17.0,-47.0,211.0,-55.0,-12.0,-102.0,17.0,-48.0,-8.0,-39.0,-2.0,-58.0,-10.0,0.0,4.0,-59.0,-2.0,-45.0,-11.0,-42.0,6.0,-39.2,-7.2,27.0
1.0,-40.0,12.0,-44.0,3.0,-44.0,-42.0,-59.0,4.0,-54.0,-8.0,-59.0,-32.0,-66.0,1.0,-88.0,4.0,-86.0,39.0,-62.0,-2.0,-22.0,-6.0,1.0,-3.0,-51.4,6.4,28.0
1.0,-72.0,-11.0,-51.0,-12.0,-71.0,-140.0,-44.0,-6.0,-17.0,-15.0,-56.0,-144.0,-70.0,-5.0,-94.0,19.0,-166.0,-17.0,-49.0,-8.0,-42.0,15.0,-9.0,7.0,-47.6,0.8,29.0
1.0,-85.0,-7.0,-74.0,-5.0,-112.0,47.0,-68.0,-10.0,-63.0,-16.0,-112.0,40.0,-65.0,-6.0,-65.0,-21.0,-88.0,-1.0,-70.0,-2.0,-35.0,-6.0,-2.0,-3.0,-74.8,-7.0,30.0
1.0,-89.0,-1.0,-85.0,-6.0,-30.0,-69.0,-75.0,14.0,-50.0,9.0,29.0,-66.0,-88.0,13.0,-72.0,2.0,-12.0,-1.0,-76.0,15.0,-107.0,0.0,-54.0,47.0,-89.2,9.6,31.0
1.0,-57.0,-7.0,-59.0,-6.0,-72.0,10.0,-49.0,-10.0,-41.0,-4.0,0.0,-1.0,-33.0,-9.0,26.0,-2.0,19.0,-1.0,-40.0,-9.0,-88.0,-4.0,-235.0,-52.0,-46.6,-3.0,32.0
1.0,-54.0,8.0,-53.0,0.0,-39.0,-13.0,-52.0,0.0,-70.0,-7.0,-62.0,-21.0,-62.0,-5.0,-70.0,-10.0,-18.0,-3.0,-59.0,-7.0,-57.0,-9.0,-64.0,-12.0,-46.0,0.8,33.0
1.0,-54.0,7.0,-70.0,15.0,-77.0,4.0,-35.0,-5.0,-46.0,-1.0,-121.0,18.0,-74.0,13.0,-132.0,13.0,-157.0,20.0,-56.0,8.0,-27.0,9.0,21.0,24.0,-36.8,6.6,34.0
1.0,-60.0,-5.0,-62.0,-10.0,-64.0,-6.0,-22.0,5.0,-5.0,6.0,-12.0,164.0,-46.0,-26.0,-53.0,-23.0,-147.0,-52.0,-28.0,-19.0,2.0,-9.0,-12.0,-8.0,-43.0,2.2,35.0
1.0,-80.0,-1.0,-88.0,-5.0,-62.0,-17.0,-71.0,14.0,-58.0,24.0,-52.0,60.0,-54.0,5.0,-39.0,-8.0,10.0,-1.0,-47.0,9.0,-28.0,-7.0,-14.0,0.0,-69.4,0.2,36.0
1.0,-46.0,0.0,-49.0,0.0,-10.0,4.0,-43.0,9.0,-27.0,8.0,-45.0,-7.0,-21.0,-14.0,-1.0,-6.0,-2.0,-6.0,-23.0,-8.0,-35.0,4.0,-19.0,-4.0,-39.6,5.8,37.0
1.0,27.0,2.0,43.0,-19.0,11.0,-20.0,0.0,-9.0,14.0,1.0,57.0,11.0,22.0,-6.0,6.0,-6.0,-4.0,-3.0,3.0,-4.0,13.0,10.0,15.0,31.0,36.0,0.2,38.0
1.0,88.0,3.0,77.0,7.0,85.0,8.0,76.0,-17.0,43.0,-28.0,71.0,-75.0,60.0,13.0,39.0,12.0,7.0,0.0,61.0,3.0,47.0,-2.0,21.0,-10.0,81.4,-10.4,39.0
1.0,72.0,0.0,92.0,13.0,95.0,11.0,50.0,-1.0,50.0,13.0,153.0,-67.0,77.0,6.0,81.0,12.0,54.0,9.0,57.0,8.0,35.0,0.0,-3.0,-2.0,61.4,-3.2,40.0
1.0,67.0,-3.0,68.0,-10.0,75.0,-6.0,25.0,7.0,27.0,-4.0,-19.0,-54.0,50.0,2.0,125.0,5.0,217.0,5.0,25.0,-7.0,-2.0,16.0,3.0,4.0,43.4,-0.6,41.0
1.0,74.0,-13.0,85.0,-11.0,78.0,-13.0,76.0,-6.0,77.0,8.0,81.0,1.0,77.0,3.0,80.0,-1.0,70.0,-1.0,82.0,6.0,63.0,7.0,17.0,13.0,55.8,1.8,42.0
1.0,48.0,-3.0,59.0,-6.0,89.0,10.0,75.0,16.0,86.0,26.0,90.0,81.0,50.0,-5.0,20.0,-6.0,-6.0,6.0,69.0,-3.0,132.0,-11.0,147.0,1.0,59.0,7.6,43.0
1.0,33.0,4.0,2.0,5.0,-37.0,-11.0,70.0,-5.0,75.0,-18.0,-13.0,97.0,48.0,1.0,19.0,3.0,21.0,3.0,62.0,5.0,94.0,2.0,195.0,-2.0,51.0,-2.8,44.0
