0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
1.0,0.0,-43.0,-16.0,-35.0,-13.0,-24.0,-12.0,-48.0,6.0,-65.0,3.0,-48.0,-19.0,-33.0,-6.0,-31.0,4.0,-47.0,0.0,-36.0,-2.0,-26.0,3.0,9.0,-10.0,-58.0,-2.0,16.0
1.0,0.0,-57.0,-7.0,-45.0,-7.0,-63.0,-1.0,-86.0,-6.0,-60.0,-3.0,-91.0,-11.0,-52.0,-14.0,-31.0,-20.0,1.0,-8.0,-59.0,-7.0,-61.0,-15.0,-42.0,5.0,-76.6,-9.6,17.0
1.0,0.0,-34.0,1.0,-33.0,4.0,-23.0,5.0,-49.0,-2.0,-16.0,-19.0,-60.0,-181.0,-19.0,9.0,-4.0,6.0,-6.0,-5.0,-37.0,9.0,-90.0,3.0,-164.0,-17.0,-48.2,-4.0,18.0
1.0,0.0,-50.0,8.0,-25.0,1.0,23.0,-13.0,-55.0,-3.0,-63.0,0.0,65.0,-28.0,-47.0,-3.0,-25.0,2.0,5.0,8.0,-51.0,-7.0,-72.0,15.0,-98.0,-5.0,-52.4,-3.8,19.0
1.0,0.0,-61.0,-4.0,-78.0,0.0,-146.0,2.0,-59.0,1.0,-58.0,-5.0,-44.0,-7.0,-79.0,-3.0,-83.0,-6.0,-71.0,16.0,-71.0,-4.0,-33.0,-17.0,-7.0,-5.0,-57.4,10.0,20.0
1.0,0.0,-69.0,-2.0,-77.0,-3.0,-71.0,21.0,-42.0,2.0,-45.0,6.0,-54.0,13.0,-62.0,-3.0,-138.0,12.0,-220.0,-13.0,-45.0,1.0,-12.0,0.0,3.0,14.0,-53.6,2.2,21.0
1.0,0.0,-101.0,1.0,-92.0,6.0,-52.0,-8.0,-84.0,5.0,-68.0,18.0,-67.0,23.0,-77.0,9.0,-60.0,0.0,-55.0,4.0,-72.0,13.0,-44.0,7.0,-13.0,15.0,-89.4,1.6,22.0
1.0,0.0,-58.0,-2.0,-93.0,3.0,-110.0,-19.0,-34.0,5.0,-39.0,19.0,-30.0,29.0,-29.0,-5.0,-10.0,-10.0,-8.0,-6.0,-26.0,4.0,-51.0,9.0,-81.0,5.0,-47.2,2.2,23.0
1.0,0.0,16.0,13.0,16.0,0.0,32.0,-9.0,0.0,-6.0,6.0,-8.0,-47.0,110.0,-13.0,4.0,-2.0,-3.0,2.0,-3.0,-12.0,-2.0,-2.0,6.0,20.0,21.0,26.0,0.0,24.0
1.0,0.0,57.0,-8.0,74.0,-1.0,107.0,13.0,42.0,-1.0,41.0,4.0,40.0,3.0,46.0,2.0,20.0,11.0,1.0,0.0,40.0,1.0,23.0,3.0,8.0,-6.0,52.2,-10.0,25.0
