0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
1.0,90.0,1.0,132.0,-24.0,90.0,-2.0,120.0,-18.0,114.0,6.0,131.0,-10.0,92.0,-4.0,122.0,-13.0,64.0,-1.0,94.0,-7.0,4.0,3.0,18.0,-6.0,120.6,153.4,13.0
1.0,57.0,-3.0,72.0,-14.0,48.0,0.0,90.0,-21.0,64.0,-7.0,98.0,-15.0,56.0,-15.0,64.0,-20.0,35.0,-17.0,129.0,-14.0,56.0,-12.0,237.0,0.0,71.8,151.4,14.0
1.0,28.0,-25.0,58.0,1.0,23.0,-19.0,61.0,16.0,-37.0,11.0,71.0,24.0,71.0,11.0,76.0,14.0,52.0,14.0,82.0,13.0,-22.0,-27.0,113.0,41.0,34.4,143.8,15.0
1.0,77.0,-10.0,21.0,-3.0,90.0,-5.0,20.0,-6.0,131.0,-9.0,35.0,-2.0,56.0,-8.0,29.0,-2.0,125.0,14.0,-6.0,22.0,206.0,60.0,-18.0,2.0,35.2,129.2,16.0
1.0,87.0,-19.0,38.0,-12.0,95.0,-2.0,22.0,-5.0,105.0,-4.0,-35.0,-11.0,44.0,7.0,13.0,2.0,18.0,21.0,9.0,2.0,11.0,39.0,23.0,7.0,46.2,110.0,17.0
1.0,7.0,-17.0,8.0,4.0,7.0,-17.0,17.0,11.0,-37.0,4.0,-3.0,6.0,-2.0,6.0,0.0,5.0,-8.0,9.0,-18.0,-5.0,-7.0,-4.0,-46.0,-18.0,-12.2,101.6,18.0
1.0,-100.0,5.0,-56.0,24.0,-116.0,10.0,-42.0,9.0,-134.0,17.0,-29.0,19.0,-86.0,-11.0,-65.0,1.0,-62.0,-23.0,-70.0,-8.0,-6.0,5.0,-97.0,-12.0,-94.6,87.2,19.0
1.0,-118.0,-3.0,-96.0,-6.0,-126.0,-13.0,-100.0,-4.0,-128.0,-11.0,-92.0,-16.0,-112.0,-11.0,-86.0,-11.0,-182.0,-21.0,-39.0,-18.0,-177.0,-31.0,6.0,-9.0,-110.2,110.8,20.0
1.0,-44.0,24.0,-85.0,5.0,-39.0,17.0,-88.0,10.0,-37.0,19.0,-95.0,-7.0,-66.0,17.0,-83.0,15.0,-62.0,50.0,-57.0,39.0,-161.0,46.0,-35.0,33.0,-33.2,113.6,21.0
1.0,-37.0,8.0,-62.0,-10.0,-28.0,6.0,-81.0,-11.0,-4.0,-17.0,-90.0,2.0,-31.0,9.0,-61.0,0.0,3.0,8.0,-125.0,-12.0,8.0,-22.0,-181.0,-3.0,-31.2,114.8,22.0
1.0,-74.0,11.0,-71.0,4.0,-62.0,7.0,-64.0,3.0,-44.0,-3.0,-41.0,12.0,-56.0,2.0,-57.0,9.0,-36.0,-32.0,-28.0,-2.0,12.0,-17.0,-10.0,7.0,-67.8,113.8,23.0
1.0,-22.0,1.0,-10.0,6.0,-41.0,13.0,-6.0,4.0,-54.0,6.0,-4.0,0.0,-23.0,-4.0,-7.0,-7.0,-28.0,-7.0,-4.0,-3.0,-35.0,-19.0,-4.0,-5.0,-14.8,130.6,24.0
1.0,12.0,9.0,22.0,-3.0,31.0,-6.0,15.0,-2.0,52.0,-29.0,20.0,-5.0,18.0,-1.0,19.0,-1.0,-1.0,3.0,19.0,4.0,-15.0,3.0,2.0,-2.0,47.0,137.4,25.0
